Lake;Region;Class
1160;North;2
1161;North;2
1162;North;2
1163;North;2
1164;North;2
1165;North;2
1166;North;2
1167;North;2
1168;North;2
1169;North;2
1170;North;2
1171;North;2
1172;North;2
1173;North;2
1174;North;2
1175;North;2
1176;North;2
1177;North;2
1178;North;2
1179;North;2
1180;North;2
1181;North;2
1182;North;2
1183;North;2
1184;North;2
1185;North;2
1186;North;2
1187;North;3
1188;North;3
1189;North;3
1190;North;3
1191;North;3
1192;North;3
1193;North;3
1194;North;3
1195;North;3
1196;North;3
1197;North;3
1198;North;3
1199;North;3
1200;North;3
1201;North;3
1202;North;3
1203;North;3
1204;North;3
1205;North;3
1206;North;3
1207;North;3
1208;North;3
1209;North;3
1210;North;3
1211;North;3
1212;North;3
1213;North;3
1214;North;3
1215;North;3
1216;North;3
1217;North;3
1218;North;3
1219;North;3
1220;North;3
1221;North;3
1222;North;3
1223;North;3
1224;North;3
1225;North;3
1226;North;3
1227;North;3
1228;North;3
1229;North;3
1230;North;3
1231;North;3
1232;North;3
1233;North;3
1234;North;3
1235;North;3
1236;North;3
1237;North;3
1238;North;3
1239;North;3
1240;North;3
1241;North;4
1242;North;4
1243;North;4
1244;North;4
1245;North;4
1246;North;4
1247;North;4
1248;North;4
1249;North;4
1250;North;4
1251;North;4
1252;North;4
1253;North;4
1254;North;5
1255;North;5
1256;Central;1
1257;Central;1
1258;Central;1
1259;Central;1
1260;Central;1
1261;Central;1
1262;Central;1
1263;Central;1
1264;Central;1
1265;Central;1
1266;Central;1
1267;Central;1
1268;Central;1
1269;Central;1
1270;Central;1
1271;Central;1
1272;Central;1
1273;Central;1
1274;Central;1
1275;Central;1
1276;Central;1
1277;Central;1
1278;Central;1
1279;Central;1
1280;Central;1
1281;Central;1
1282;Central;1
1283;Central;1
1284;Central;1
1285;Central;1
1286;Central;1
1287;Central;1
1288;Central;1
1289;Central;1
1290;Central;1
1291;Central;1
1292;Central;1
1293;Central;1
1294;Central;1
1295;Central;1
1296;Central;1
1297;Central;1
1298;Central;1
1299;Central;1
1300;Central;1
1301;Central;1
1302;Central;1
1303;Central;1
1304;Central;1
1305;Central;1
1306;Central;1
1307;Central;1
1308;Central;1
1309;Central;1
1310;Central;1
1311;Central;1
1312;Central;1
1313;Central;1
1314;Central;1
1315;Central;1
1316;Central;1
1317;Central;1
1318;Central;1
1319;Central;1
1320;Central;1
1321;Central;1
1322;Central;1
1323;Central;1
1324;Central;1
1325;Central;1
1326;Central;1
1327;Central;1
1328;Central;1
1329;Central;1
1330;Central;1
1331;Central;1
1332;Central;1
1333;Central;1
1334;Central;1
1335;Central;1
1336;Central;1
1337;Central;1
1338;Central;1
1339;Central;1
1340;Central;1
1341;Central;1
1342;Central;1
1343;Central;1
1344;Central;1
1345;Central;1
1346;Central;1
1347;Central;1
1348;Central;1
1349;Central;1
1350;Central;1
1351;Central;1
1352;Central;1
1353;Central;1
1354;Central;1
1355;Central;1
1356;Central;1
1357;Central;1
1358;Central;1
1359;Central;1
1360;Central;1
1361;Central;1
1362;Central;1
1363;Central;1
1364;Central;1
1365;Central;1
1366;Central;1
1367;Central;1
1368;Central;1
1369;Central;1
1370;Central;1
1371;Central;1
1372;Central;1
1373;Central;1
1374;Central;1
1375;Central;1
1376;Central;1
1377;Central;1
1378;Central;1
1379;Central;1
1380;Central;1
1381;Central;1
1382;Central;1
1383;Central;1
1384;Central;1
1385;Central;1
1386;Central;1
1387;Central;1
1388;Central;1
1389;Central;1
1390;Central;1
1391;Central;1
1392;Central;1
1393;Central;1
1394;Central;1
1395;Central;1
1396;Central;1
1397;Central;1
1398;Central;1
1399;Central;1
1400;Central;1
1401;Central;1
1402;Central;1
1403;Central;1
1404;Central;1
1405;Central;1
1406;Central;1
1407;Central;1
1408;Central;1
1409;Central;1
1410;Central;1
1411;Central;1
1412;Central;1
1413;Central;1
